city,latitude,longitude,temp_max,humidity,cloudiness,wind_speed,country,date
Grand Gaube,-20.01,57.66,63.0,64,0,1.99,MU,1604107667
Saint George,37.1,-113.58,69.8,15,1,3.36,US,1604107472
Muisne,0.6,-80.03,75.18,83,100,7.11,EC,1604107667
Ushuaia,-54.8,-68.3,50.0,71,75,18.34,AR,1604107667
Mandalgovi,45.76,106.27,27.27,77,100,14.14,MN,1604107668
Rikitea,-23.12,-134.97,76.21,63,0,2.04,PF,1604107668
Balakhta,55.38,91.6,25.86,98,100,4.05,RU,1604107668
São Félix do Xingu,-6.64,-51.99,70.92,95,100,1.81,BR,1604107668
Miyako,39.64,141.95,57.16,48,0,6.22,JP,1604107668
San Quintín,30.48,-115.95,66.38,71,100,6.87,MX,1604107668
Bereket,39.24,55.52,52.16,40,0,8.01,TM,1604107668
Jamestown,42.1,-79.24,35.01,95,90,8.05,US,1604107500
Yellowknife,62.46,-114.35,15.01,92,75,4.7,CA,1604107669
Cabo San Lucas,22.89,-109.91,78.8,57,40,5.82,MX,1604107509
Snåase,64.25,12.38,38.55,88,100,2.15,NO,1604107669
Vila Velha,-20.33,-40.29,75.2,94,90,5.82,BR,1604107489
Mataura,-46.19,168.86,53.01,98,100,11.99,NZ,1604107669
Makarov,48.63,142.8,44.69,60,10,5.97,RU,1604107669
Qui Nhon,13.77,109.23,79.79,86,73,12.41,VN,1604107540
Pichayevo,53.24,42.2,43.41,95,100,4.21,RU,1604107670
Zhigalovo,54.81,105.16,23.79,95,100,2.37,RU,1604107670
Hobart,-42.88,147.33,70.0,59,40,11.41,AU,1604107474
Padang,-0.95,100.35,78.8,83,40,9.17,ID,1604107670
Kudahuvadhoo,2.67,72.89,82.31,74,100,10.51,MV,1604107670
Castro,-24.79,-50.01,52.72,95,100,10.74,BR,1604107671
Khatanga,71.97,102.5,-10.23,84,0,6.46,RU,1604107479
Carnarvon,-24.87,113.63,75.2,64,90,11.41,AU,1604107671
Atuona,-9.8,-139.03,78.04,73,41,11.12,PF,1604107671
Kavieng,-2.57,150.8,83.3,75,100,8.77,PG,1604107671
George Town,5.41,100.34,82.4,83,20,4.7,MY,1604107412
Kapaa,22.08,-159.32,82.99,65,75,5.82,US,1604107539
Neresnytsya,48.12,23.77,45.0,100,100,5.82,UA,1604107672
Semporna,4.48,118.61,82.4,83,20,2.24,MY,1604107672
Mount Isa,-20.73,139.5,80.6,18,0,9.17,AU,1604107672
Sabang,5.89,95.32,82.13,76,100,13.0,ID,1604107672
Muhafazat Lahij,13.17,44.58,73.83,77,0,4.07,YE,1604107672
Ponta do Sol,32.67,-17.1,68.0,77,20,13.87,PT,1604107473
Busselton,-33.65,115.33,73.99,48,100,10.22,AU,1604107673
Hermanus,-34.42,19.23,52.0,71,0,11.81,ZA,1604107469
